cust_id,count_accts,cm_age,flag_top_ed_spender,flag_cust_fee_paid_6m,pre6m_cust_spend,pre6m_cust_roc_cnt,pre6m_cust_non_disc_amt,pre6m_cust_non_disc_cnt,pre6m_cust_disc_amt,pre6m_cust_disc_cnt,pre6m_cust_outbound_amt,pre6m_cust_online_amt,pre6m_cust_online_cnt,pre6m_cust_travel_amt,pre6m_cust_travel_cnt,pre6m_cust_retail_amt,pre6m_cust_retail_cnt,pre6m_cust_myca_active,pre6m_cust_mob_logins,pre6m_total_mc_trs,acq_sub_chn,acq_type_grp,fee_type_grp,Cust_tenure,pre6m_spend_active_ind,highly_utilized_ind,min_pay_ind,paid_in_full_ind,sum_total_line_amt,direct_debit_ind,referrals,spillover,self_accts,Customer Low Quality indicator,cdss_most_rcnt_prob,cust_max_credit_12m_amt,cust_max_remit_12m_amt,cbr_3_score,cnsumr_chrg_actv_cust_cnt,cnsumr_chrg_avg_credit_12m_amt,cnsumr_lend_actv_cust_cnt,cnsumr_lend_tot_util_ratio,sow_revol_avg_paydown_pct,sow_tot_annual_ext_pmt_amt,sow_tot_revol_bal_amt,sow_tot_revol_cnt,sow_tot_trans_bal_amt,sow_tot_trans_cnt
569986,1,37,0,0," 9,868 ",760, 777 ,174," 9,091 ",586," 1,705 "," 2,286 ",280," 3,219 ",268," 2,668 ",240,5,9, 474 ,Paid Search,external,no_fee,10,1,1,0,0," 46,000 ",0,0,0,0,0,0.048," 1,880 "," 1,875 ",833,0, -   ,1,1.055513,0, -   , -   ,0, -   ,0
569987,2,33,0,0, -   ,0, -   ,0, -   ,0, -   , -   ,0, -   ,0, -   ,0,0,0, (0),MGM,external,reduced_fee,1,0,0,0,0," 5,133 ",0,0,0,0,0,, -   , -   ,,, -   ,,,, -   , -   ,, -   ,
569988,2,40,1,0," 2,401 ",302," 1,045 ",166," 1,357 ",136, 289 , 483 ,96, 220 ,18, 986 ,176,5,5, 2 ,MGM,spillover,no_fee,10,1,0,0,1," 69,600 ",0,0,0,0,0,0, 739 , 618 ,1251,0, 43 ,2,0.029297,0, -   , -   ,0, -   ,0
569989,1,34,1,1," 9,836 ",856, 829 ,190," 9,007 ",666," 2,104 "," 2,545 ",292," 2,109 ",254," 1,921 ",274,6,20, 170 ,MGM,external,reduced_fee,14,1,0,0,0, -   ,1,0,0,0,0,0," 1,864 "," 1,851 ",1004,1, 829 ,0,0,0, -   , -   ,0, -   ,0
569990,1,28,0,0," 2,351 ",260, 584 ,90," 1,767 ",170, 63 , 282 ,56, 127 ,26," 1,878 ",124,3,3, (9),MGM,external,no_fee,7,1,0,0,1," 9,600 ",0,0,0,0,0,0, 752 , 731 ,1293,0, -   ,1,0.200658,0, -   , -   ,0, -   ,0
569991,3,42,1,1," 18,963 ",1508," 2,451 ",298," 16,513 ",1210," 4,286 "," 8,199 ",692," 8,392 ",508," 4,183 ",436,21,279, 367 ,Unreferred,others,full_fee,91,1,0,0,1," 165,000 ",1,0,0,0,0,0.001," 3,302 "," 3,276 ",1042,1, 765 ,2,0.058062,0.0786," 5,083 "," 9,240 ",3, -   ,0
569992,2,36,1,0," 5,784 ",872, 945 ,312," 4,840 ",560, 480 ," 2,877 ",388," 1,811 ",194," 2,078 ",456,15,475, (28),Unreferred,spillover,no_fee,57,1,0,0,1," 72,000 ",0,0,0,0,0,0," 1,781 "," 1,771 ",1304,0, -   ,2,0.08798,0, -   , -   ,0, -   ,0
569993,3,34,0,1," 4,932 ",118, 305 ,14," 4,627 ",104," 1,488 "," 1,660 ",108," 2,391 ",24," 1,527 ",62,18,48, 184 ,E-Mails,others,full_fee,70,1,1,0,1," 21,333 ",1,0,0,0,0,0.13," 1,483 "," 1,483 ",906,1, 145 ,1,0.95751,0," 4,263 ", -   ,0," 1,262 ",2
569994,1,30,0,0, 286 ,18, -   ,0, 286 ,18, 102 , 113 ,20, 184 ,10, 102 ,8,4,5, 1 ,MGM,external,no_fee,30,1,0,0,1," 20,000 ",0,0,0,0,0,0.006, 210 , 169 ,958,0, -   ,1,-0.00048,0, 621 , -   ,0, -   ,2
569995,1,29,1,0," 1,580 ",178, 542 ,98," 1,038 ",80, 137 , 592 ,52, 382 ,8, 678 ,112,7,41, (29),Direct,spillover,reduced_fee,9,1,0,0,1," 16,000 ",0,3,2,0,0,0.001, 282 , 281 ,1255,0, 9 ,1,0.230783,0," 7,920 ", -   ,0, 285 ,2
